"accession_update","site","sample_id","type","variant_positive","bat_age","bat_sex","bat_species","sampling_date"
"ACCLU001","Clunes",2,"beta_2d_i",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_ii",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_iii",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_iv",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_v",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_vi",FALSE,"adult","male","bff",2017-08-12
"ACCLU002","Clunes",2,"beta_2d_i",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_ii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_iii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_iv",TRUE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_v",TRUE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_vi",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_i",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_ii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_iii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_iv",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_v",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_vi",FALSE,"juve","male","bff",2018-02-20
"ACCLU003","Clunes",2,"beta_2d_i",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_ii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_iii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_iv",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_v",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_vi",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_i",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_ii",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_iii",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_iv",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_v",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_vi",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_i",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_ii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_iii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_iv",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_v",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_vi",FALSE,"adult","male","bff",2018-08-03
"ACRED001","Redcliffe",5,"beta_2d_i",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_ii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_iii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_iv",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_v",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_vi",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_i",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_v",TRUE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_i",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_ii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_iii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_iv",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_v",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_vi",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_i",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_v",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_i",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_v",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",10,"beta_2d_i",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",10,"beta_2d_ii",TRUE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",10,"beta_2d_iii",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",10,"beta_2d_iv",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",10,"beta_2d_v",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",10,"beta_2d_vi",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",11,"beta_2d_i",FALSE,"juve","male","bff",2018-05-25
"ACRED001","Redcliffe",11,"beta_2d_ii",FALSE,"juve","male","bff",2018-05-25
"ACRED001","Redcliffe",11,"beta_2d_iii",FALSE,"juve","male","bff",2018-05-25
"ACRED001","Redcliffe",11,"beta_2d_iv",FALSE,"juve","male","bff",2018-05-25
"ACRED001","Redcliffe",11,"beta_2d_v",FALSE,"juve","male","bff",2018-05-25
"ACRED001","Redcliffe",11,"beta_2d_vi",FALSE,"juve","male","bff",2018-05-25
"ACRED001","Redcliffe",12,"beta_2d_i",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",12,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",12,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",12,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",12,"beta_2d_v",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",12,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",13,"beta_2d_i",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",13,"beta_2d_ii",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",13,"beta_2d_iii",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",13,"beta_2d_iv",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",13,"beta_2d_v",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",13,"beta_2d_vi",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",14,"beta_2d_i",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",14,"beta_2d_ii",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",14,"beta_2d_iii",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",14,"beta_2d_iv",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",14,"beta_2d_v",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",14,"beta_2d_vi",FALSE,"juve","female","bff",2018-05-25
"ACRED001","Redcliffe",15,"beta_2d_i",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",15,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",15,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",15,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",15,"beta_2d_v",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",15,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",19,"beta_2d_i",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",19,"beta_2d_ii",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",19,"beta_2d_iii",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",19,"beta_2d_iv",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",19,"beta_2d_v",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",19,"beta_2d_vi",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",20,"beta_2d_i",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",20,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",20,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",20,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",20,"beta_2d_v",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",20,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",22,"beta_2d_i",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",22,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",22,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",22,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",22,"beta_2d_v",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",22,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",23,"beta_2d_i",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",23,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",23,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",23,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",23,"beta_2d_v",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",23,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",24,"beta_2d_i",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",24,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",24,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",24,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",24,"beta_2d_v",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",24,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",28,"beta_2d_i",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",28,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",28,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",28,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",28,"beta_2d_v",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",28,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-26
"ACRED001","Redcliffe",29,"beta_2d_i",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",29,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",29,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",29,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",29,"beta_2d_v",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",29,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",30,"beta_2d_i",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",30,"beta_2d_ii",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",30,"beta_2d_iii",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",30,"beta_2d_iv",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",30,"beta_2d_v",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",30,"beta_2d_vi",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",32,"beta_2d_i",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",32,"beta_2d_ii",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",32,"beta_2d_iii",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",32,"beta_2d_iv",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",32,"beta_2d_v",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",32,"beta_2d_vi",FALSE,"juve","female","bff",2018-05-26
"ACRED001","Redcliffe",33,"beta_2d_i",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",33,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",33,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",33,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",33,"beta_2d_v",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",33,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-26
"ACRED001","Redcliffe",34,"beta_2d_i",FALSE,"sub_adult","male","bff",2018-05-26
"ACRED001","Redcliffe",34,"beta_2d_ii",FALSE,"sub_adult","male","bff",2018-05-26
"ACRED001","Redcliffe",34,"beta_2d_iii",FALSE,"sub_adult","male","bff",2018-05-26
"ACRED001","Redcliffe",34,"beta_2d_iv",FALSE,"sub_adult","male","bff",2018-05-26
"ACRED001","Redcliffe",34,"beta_2d_v",FALSE,"sub_adult","male","bff",2018-05-26
"ACRED001","Redcliffe",34,"beta_2d_vi",FALSE,"sub_adult","male","bff",2018-05-26
"ACRED001","Redcliffe",36,"beta_2d_i",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",36,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",36,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",36,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",36,"beta_2d_v",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",36,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",37,"beta_2d_i",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",37,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",37,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",37,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",37,"beta_2d_v",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",37,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",39,"beta_2d_i",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",39,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",39,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",39,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",39,"beta_2d_v",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",39,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",41,"beta_2d_i",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",41,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",41,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",41,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",41,"beta_2d_v",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",41,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",42,"beta_2d_i",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",42,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",42,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",42,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",42,"beta_2d_v",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",42,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",43,"beta_2d_i",FALSE,"sub_adult","male","bff",2018-05-27
"ACRED001","Redcliffe",43,"beta_2d_ii",FALSE,"sub_adult","male","bff",2018-05-27
"ACRED001","Redcliffe",43,"beta_2d_iii",FALSE,"sub_adult","male","bff",2018-05-27
"ACRED001","Redcliffe",43,"beta_2d_iv",FALSE,"sub_adult","male","bff",2018-05-27
"ACRED001","Redcliffe",43,"beta_2d_v",FALSE,"sub_adult","male","bff",2018-05-27
"ACRED001","Redcliffe",43,"beta_2d_vi",FALSE,"sub_adult","male","bff",2018-05-27
"ACRED001","Redcliffe",45,"beta_2d_i",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",45,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",45,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",45,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",45,"beta_2d_v",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",45,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",47,"beta_2d_i",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",47,"beta_2d_ii",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",47,"beta_2d_iii",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",47,"beta_2d_iv",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",47,"beta_2d_v",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",47,"beta_2d_vi",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",48,"beta_2d_i",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",48,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",48,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",48,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",48,"beta_2d_v",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",48,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",49,"beta_2d_i",FALSE,"juve","female","ghff",2018-05-27
"ACRED001","Redcliffe",49,"beta_2d_ii",FALSE,"juve","female","ghff",2018-05-27
"ACRED001","Redcliffe",49,"beta_2d_iii",FALSE,"juve","female","ghff",2018-05-27
"ACRED001","Redcliffe",49,"beta_2d_iv",FALSE,"juve","female","ghff",2018-05-27
"ACRED001","Redcliffe",49,"beta_2d_v",FALSE,"juve","female","ghff",2018-05-27
"ACRED001","Redcliffe",49,"beta_2d_vi",FALSE,"juve","female","ghff",2018-05-27
"ACRED001","Redcliffe",50,"beta_2d_i",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",50,"beta_2d_ii",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",50,"beta_2d_iii",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",50,"beta_2d_iv",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",50,"beta_2d_v",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",50,"beta_2d_vi",FALSE,"juve","male","ghff",2018-05-27
"ACRED001","Redcliffe",51,"beta_2d_i",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",51,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",51,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",51,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",51,"beta_2d_v",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",51,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",53,"beta_2d_i",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",53,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",53,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",53,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",53,"beta_2d_v",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",53,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",54,"beta_2d_i",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",54,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",54,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",54,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",54,"beta_2d_v",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",54,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-27
"ACRED001","Redcliffe",56,"beta_2d_i",FALSE,"juve","male","bff",2018-05-27
"ACRED001","Redcliffe",56,"beta_2d_ii",FALSE,"juve","male","bff",2018-05-27
"ACRED001","Redcliffe",56,"beta_2d_iii",FALSE,"juve","male","bff",2018-05-27
"ACRED001","Redcliffe",56,"beta_2d_iv",FALSE,"juve","male","bff",2018-05-27
"ACRED001","Redcliffe",56,"beta_2d_v",FALSE,"juve","male","bff",2018-05-27
"ACRED001","Redcliffe",56,"beta_2d_vi",FALSE,"juve","male","bff",2018-05-27
"ACRED001","Redcliffe",58,"beta_2d_i",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",58,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",58,"beta_2d_iii",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",58,"beta_2d_iv",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",58,"beta_2d_v",FALSE,"adult","male","bff",2018-05-27
"ACRED001","Redcliffe",58,"beta_2d_vi",FALSE,"adult","male","bff",2018-05-27
"ACRED002","Redcliffe",1,"beta_2d_i",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",1,"beta_2d_ii",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",1,"beta_2d_iii",TRUE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",1,"beta_2d_iv",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",1,"beta_2d_v",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",1,"beta_2d_vi",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",3,"beta_2d_i",FALSE,"juve","female","bff",2018-07-27
"ACRED002","Redcliffe",3,"beta_2d_ii",FALSE,"juve","female","bff",2018-07-27
"ACRED002","Redcliffe",3,"beta_2d_iii",FALSE,"juve","female","bff",2018-07-27
"ACRED002","Redcliffe",3,"beta_2d_iv",FALSE,"juve","female","bff",2018-07-27
"ACRED002","Redcliffe",3,"beta_2d_v",FALSE,"juve","female","bff",2018-07-27
"ACRED002","Redcliffe",3,"beta_2d_vi",FALSE,"juve","female","bff",2018-07-27
"ACRED002","Redcliffe",5,"beta_2d_i",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",5,"beta_2d_ii",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",5,"beta_2d_iii",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",5,"beta_2d_iv",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",5,"beta_2d_v",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",5,"beta_2d_vi",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",6,"beta_2d_i",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",6,"beta_2d_ii",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",6,"beta_2d_iii",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",6,"beta_2d_iv",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",6,"beta_2d_v",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",6,"beta_2d_vi",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",7,"beta_2d_i",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",7,"beta_2d_ii",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",7,"beta_2d_iii",TRUE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",7,"beta_2d_iv",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",7,"beta_2d_v",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",7,"beta_2d_vi",FALSE,"juve","male","ghff",2018-07-27
"ACRED002","Redcliffe",10,"beta_2d_i",FALSE,"sub_adult","female","ghff",2018-07-27
"ACRED002","Redcliffe",10,"beta_2d_ii",FALSE,"sub_adult","female","ghff",2018-07-27
"ACRED002","Redcliffe",10,"beta_2d_iii",TRUE,"sub_adult","female","ghff",2018-07-27
