median,lower,upper,date,cluster
0.0013151229373822397,3.133863985304244e-5,0.010396672960210582,2017-08-12,beta 2d.i
0.0012664632346854237,3.18332503485461e-5,0.008691556774243965,2017-09-08,beta 2d.i
0.0012182069547444975,3.184564573238639e-5,0.007276334683772474,2017-10-08,beta 2d.i
0.0011780790717652364,2.759006795557848e-5,0.006767456106988504,2017-10-31,beta 2d.i
0.0011721811371727731,2.45052658311933e-5,0.006524870369093007,2017-11-23,beta 2d.i
0.001155852012523309,2.5276921400209975e-5,0.006407560710772085,2017-12-18,beta 2d.i
0.0011449232040637476,2.4950600208246565e-5,0.005907197836145794,2018-01-22,beta 2d.i
0.0011335334690385924,2.476838167517885e-5,0.005482873863749174,2018-02-20,beta 2d.i
0.00112572567970641,2.4899298967183577e-5,0.0053329492479608515,2018-03-01,beta 2d.i
0.0010974568826061877,2.335752723128885e-5,0.005268459597253521,2018-03-13,beta 2d.i
0.001032240465266663,2.0359404023656147e-5,0.004587631071755392,2018-04-26,beta 2d.i
0.0010288411773928534,2.027555817245171e-5,0.004589904073739163,2018-04-27,beta 2d.i
0.001024898991620121,2.1133119515624742e-5,0.004581589539222913,2018-04-29,beta 2d.i
0.0010086740156136811,2.073787801806364e-5,0.0044262839084144145,2018-05-25,beta 2d.i
0.0010079003106797258,2.0623301986960976e-5,0.004407399062342139,2018-05-26,beta 2d.i
0.001006972630455252,2.0586889529338242e-5,0.004396216850994996,2018-05-27,beta 2d.i
0.0010064542162808257,1.9497067587508842e-5,0.004409234738443665,2018-06-03,beta 2d.i
0.0010012929315315262,1.8818821151912934e-5,0.004383812114172551,2018-06-04,beta 2d.i
0.0010004232522751071,1.9495733684293257e-5,0.004369247061125792,2018-06-05,beta 2d.i
0.0010013750750566034,1.9514685178405424e-5,0.0043966607407644395,2018-06-07,beta 2d.i
9.649180242418318e-4,1.6093627871130125e-5,0.004313323688961384,2018-06-28,beta 2d.i
9.642594915402363e-4,1.6068522357246222e-5,0.004338526868068627,2018-06-29,beta 2d.i
9.612209290829512e-4,1.522327529045776e-5,0.004323611646366778,2018-07-01,beta 2d.i
9.358464201493632e-4,1.5306055991983974e-5,0.004046192865081212,2018-07-21,beta 2d.i
9.391152107271098e-4,1.5692724800176106e-5,0.004040197491513479,2018-07-22,beta 2d.i
9.318516568895984e-4,1.5297727491182898e-5,0.0040800565427718425,2018-07-23,beta 2d.i
9.358435739617536e-4,1.4271700125434267e-5,0.004060834040991565,2018-07-24,beta 2d.i
9.301366001193083e-4,1.3942827439764965e-5,0.003995216529574488,2018-07-27,beta 2d.i
